,x,
5,/football/algeria/ligue-1/,Africa/Algiers
13,/football/argentina/primera-nacional/,America/Argentina/Buenos_Aires
14,/football/armenia/premier-league/,Asia/Yerevan
18,/football/asia/asian-cup-women/,Asia/Shanghai
19,/football/australia/npl-act/,Australia/Sydney
20,/football/australia/npl-northern-nsw/,Australia/Sydney
21,/football/australia-oceania/ofc-champions-league/,Australia/Sydney
22,/football/australia-oceania/ofc-championship-u16/,Australia/Sydney
23,/football/austria/bundesliga/,Europe/Vienna
24,/football/austria/2-liga/,Europe/Vienna
32,/football/belarus/vysshaya-liga/,Europe/Minsk
33,/football/belarus/pershaya-liga/,Europe/Minsk
34,/football/belgium/jupiler-pro-league/,Europe/Brussels
35,/football/belgium/challenger-pro-league/,Europe/Brussels
38,/football/bhutan/premier-league/,Asia/Thimphu
39,/football/bolivia/division-profesional/,America/La_Paz
40,/football/bolivia/copa-pacena/,America/La_Paz
42,/football/bosnia-and-herzegovina/prva-liga-fbih/,Europe/Sarajevo
44,/football/brazil/serie-a-betano/,America/Sao_Paulo
45,/football/brazil/serie-b-superbet/,America/Sao_Paulo
46,/football/bulgaria/parva-liga/,Europe/Sofia
47,/football/bulgaria/vtora-liga/,Europe/Sofia
53,/football/cameroon/elite-one/,Africa/Douala
55,/football/canada/canadian-premier-league/,America/Toronto
59,/football/chile/liga-de-primera/,America/Santiago
60,/football/chile/liga-de-ascenso/,America/Santiago
61,/football/china/super-league/,Asia/Shanghai
62,/football/china/jia-league/,Asia/Shanghai
63,/football/colombia/primera-a/,America/Bogota
64,/football/colombia/primera-b/,America/Bogota
66,/football/costa-rica/liga-de-ascenso/,America/Costa_Rica
67,/football/croatia/hnl/,Europe/Zagreb
75,/football/denmark/superliga/,Europe/Copenhagen
76,/football/denmark/1st-division/,Europe/Copenhagen
81,/football/ecuador/liga-pro/,America/Guayaquil
82,/football/ecuador/serie-b/,America/Guayaquil
84,/football/egypt/premier-league/,Africa/Cairo
85,/football/el-salvador/primera-division/,America/El_Salvador
86,/football/england/premier-league/,Europe/London
87,/football/england/championship/,Europe/London
88,/football/estonia/meistriliiga/,Europe/Tallinn
89,/football/estonia/esiliiga/,Europe/Tallinn
92,/football/ethiopia/premier-league/,Africa/Addis_Ababa
95,/football/faroe-islands/premier-league/,Atlantic/Faroe
97,/football/fiji/premier-league/,Pacific/Fiji
99,/football/finland/veikkausliiga/,Europe/Helsinki
100,/football/finland/ykkosliiga/,Europe/Helsinki
101,/football/france/ligue-1/,Europe/Paris
102,/football/france/ligue-2/,Europe/Paris
103,/football/gabon/championnat-d1/,Africa/Libreville
106,/football/georgia/crystalbet-erovnuli-liga/,Asia/Tiblisi
108,/football/germany/bundesliga/,Europe/Berlin
109,/football/germany/2-bundesliga/,Europe/Berlin
114,/football/greece/super-league/,Europe/Athens
117,/football/guatemala/liga-nacional/,America/Guatemala
120,/football/honduras/liga-nacional/,America/Tegucigalpa
125,/football/iceland/besta-deild-karla/,Atlantic/Reykjavik
126,/football/iceland/division-1/,Atlantic/Reykjavik
129,/football/indonesia/liga-1/,Asia/Jakarta
133,/football/iraq/stars-league/,Asia/Bagdad
135,/football/ireland/premier-division/,Europe/Dublin
136,/football/ireland/division-1/,Europe/Dublin
140,/football/italy/serie-a/,Europe/Rome
143,/football/japan/j1-league/,Asia/Tokyo
144,/football/japan/j2-league/,Asia/Tokyo
147,/football/kazakhstan/premier-league/,Asia/Almaty
157,/football/latvia/virsliga/,Europe/Riga
158,/football/latvia/nakotnes-liga/,Europe/Riga
166,/football/lithuania/a-lyga/,Europe/Vilnius
167,/football/lithuania/i-lyga/,Europe/Vilnius
168,/football/luxembourg/bgl-ligue/,Europe/Luxembourg
171,/football/malawi/super-league/,Africa/Blantyre
183,/football/mexico/liga-mx/,America/Mexico_City
184,/football/mexico/liga-de-expansion-mx/,America/Mexico_City
185,/football/moldova/super-liga/,Europe/Chisinau
199,/football/netherlands/eredivisie/,Europe/Amsterdam
200,/football/netherlands/eerste-divisie/,Europe/Amsterdam
213,/football/northern-ireland/nifl-premiership/,Europe/Belfast
214,/football/norway/eliteserien/,Europe/Oslo
215,/football/norway/obos-ligaen/,Europe/Oslo
220,/football/panama/lpf/,America/Panama
221,/football/paraguay/copa-de-primera/,America/Asuncion
222,/football/paraguay/division-intermedia/,America/Asuncion
223,/football/peru/liga-1/,America/Lima
224,/football/peru/liga-2/,America/Lima
227,/football/poland/ekstraklasa/,Europe/Warsaw
228,/football/poland/division-1/,Europe/Warsaw
229,/football/portugal/liga-portugal/,Europe/Lisbon
230,/football/portugal/liga-portugal-2/,Europe/Lisbon
235,/football/romania/superliga/,Europe/Bucharest
236,/football/romania/liga-2/,Europe/Bucharest
247,/football/scotland/premiership/,Europe/Edinburgh
254,/football/sierra-leone/premier-league/,Africa/Freetown
257,/football/slovakia/nike-liga/,Europe/Bratislava
259,/football/slovenia/prva-liga/,Europe/Ljubljana
261,/football/somalia/national-league/,Africa/Mogadishu
264,/football/south-america/copa-libertadores/,America/Sao_Paulo
265,/football/south-america/copa-sudamericana/,America/Sao_Paulo
266,/football/south-korea/k-league-1/,Asia/Seoul
267,/football/south-korea/k-league-2/,Asia/Seoul
269,/football/spain/laliga/,Europe/Madrid
275,/football/sweden/allsvenskan/,Europe/Stockholm
276,/football/sweden/superettan/,Europe/Stockholm
277,/football/switzerland/super-league/,Europe/Zurich
294,/football/turkey/super-lig/,Europe/Istanbul
295,/football/turkey/1-lig/,Europe/Istanbul
300,/football/ukraine/premier-league/,Europe/Kyiv
304,/football/uruguay/liga-auf-uruguaya/,America/Montevideo
305,/football/uruguay/segunda-division/,America/Montevideo
306,/football/usa/mls/,America/New_York
307,/football/usa/usl-championship/,America/New_York
308,/football/uzbekistan/super-league/,Asia/Tashkent
310,/football/venezuela/liga-futve/,America/Caracas
311,/football/venezuela/liga-futve-2/,America/Caracas
