"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result"
"2025-08-23_Achnas_Chloraka",1.59,1.59,1.59,1.59,1.59,1.58,1.58,1.58,1.58,1.58,1.57,1.56,1.56,NA,NA,NA,NA,NA,NA,NA,NA,3.98,3.98,3.98,3.98,3.98,3.93,3.93,3.93,3.93,3.93,3.83,3.87,3.86,NA,NA,NA,NA,NA,NA,NA,NA,4.95,4.95,4.95,4.95,4.95,4.93,4.93,4.93,4.93,4.93,4.87,4.87,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-23_AEL Limassol_Ol. Nicosia",1.36,1.35,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,NA,NA,NA,NA,NA,NA,NA,NA,4.63,4.55,4.63,4.63,4.63,4.6,4.6,4.6,4.6,4.6,4.48,4.48,4.48,NA,NA,NA,NA,NA,NA,NA,NA,7.56,8.11,7.56,7.56,7.56,7.27,7.27,7.27,7.27,7.27,6.98,7,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-23_Anorthosis_Omonia Aradippou",1.59,1.59,1.59,1.59,1.59,1.58,1.58,1.58,1.58,1.58,1.57,1.57,1.57,1.57,"1.83","1.86",NA,NA,NA,NA,NA,3.93,3.93,3.93,3.93,3.93,3.88,3.88,3.88,3.88,3.88,3.79,3.79,3.79,3.79,"3.52","3.57",NA,NA,NA,NA,NA,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,4.96,4.96,4.97,4.96,"3.73","3.77",NA,NA,NA,NA,NA,NA
"2025-08-23_Aris_Apollon",1.71,1.71,1.71,1.71,1.71,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.72,"1.5","1.58",NA,NA,NA,NA,NA,3.43,3.43,3.43,3.43,3.43,3.4,3.4,3.4,3.4,3.4,3.34,3.33,3.33,3.31,"3.99","3.78",NA,NA,NA,NA,NA,4.83,4.83,4.83,4.83,4.83,4.8,4.8,4.8,4.8,4.8,4.56,4.56,4.58,4.5,"5.52","5.22",NA,NA,NA,NA,NA,NA
"2025-08-23_Omonia_AEK Larnaca",2.19,2.19,2.19,2.19,2.19,2.17,2.17,2.17,2.17,2.17,2.16,2.16,2.16,2.16,"2.16",NA,NA,NA,NA,NA,NA,3.24,3.24,3.24,3.24,3.24,3.2,3.2,3.2,3.2,3.2,3.16,3.15,3.15,3.12,"3.12",NA,NA,NA,NA,NA,NA,3.11,3.11,3.11,3.11,3.11,3.1,3.1,3.1,3.1,3.1,3.05,3.07,3.06,2.94,"2.94",NA,NA,NA,NA,NA,NA,NA
"2025-08-23_Pafos_Paralimni",1.21,1.21,1.21,1.21,1.21,1.2,1.2,1.2,1.2,1.2,1.2,1.19,1.19,1.18,"1.19",NA,NA,NA,NA,NA,NA,5.78,5.78,5.78,5.78,5.78,5.67,5.67,5.67,5.67,5.67,5.51,5.56,5.6,5.5,"5.25",NA,NA,NA,NA,NA,NA,11.5,11.5,11.5,11.5,11.5,11.33,11.33,11.33,11.33,11.33,10.8,11,11,10,"11",NA,NA,NA,NA,NA,NA,NA
"2025-08-23_Ypsonas_APOEL",5.73,5.73,5.87,5.27,5.87,5.67,5.87,5.67,5.87,5.87,5.98,5.83,5.8,NA,NA,NA,NA,NA,NA,NA,NA,4.13,4.13,4.13,4.02,4.13,4.03,4.33,4.03,4.13,4.13,4.18,4.09,4.09,NA,NA,NA,NA,NA,NA,NA,NA,1.48,1.48,1.48,1.52,1.48,1.49,1.45,1.49,1.47,1.47,1.45,1.46,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-22_AEL Limassol_Ol. Nicosia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.33","1.33","1.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.65","4.65","4.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.45","7.5","7.60",NA,NA,NA,NA,NA
"2025-08-23_Omonia_AEK Larnaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,"2.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,"3.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,"2.94",NA,NA,NA,NA,NA,NA,NA
"2025-08-23_Pafos_Paralimni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,"1.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"5.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"11",NA,NA,NA,NA,NA,NA,NA
