"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result"
"2025-06-11_Slovakia U21_Spain U21",NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,6.4,6,6.09,6.12,6.09,"6.14","6.17",6.17,6.51,NA,NA,NA,NA,NA,NA,NA,NA,4.12,NA,NA,NA,4.08,4.57,4.89,4.91,4.96,"4.9","4.88",4.84,5.12,NA,NA,NA,NA,NA,NA,NA,NA,1.41,NA,NA,NA,1.43,1.42,1.42,1.42,1.42,"1.42","1.42",1.42,1.4,"2"
"2025-06-11_Italy U21_Romania U21",NA,NA,NA,NA,NA,NA,NA,NA,1.61,NA,NA,NA,1.63,1.62,1.6,1.6,1.59,"1.6","1.61",1.6,1.61,NA,NA,NA,NA,NA,NA,NA,NA,3.57,NA,NA,NA,3.53,3.72,3.88,3.91,3.93,"3.9","3.88",3.89,3.86,NA,NA,NA,NA,NA,NA,NA,NA,5.05,NA,NA,NA,4.88,4.9,5.16,5.2,5.25,"5.16","5.2",5.33,5.38,"1"
"2025-06-14_Spain U21_Romania U21",NA,NA,NA,NA,NA,5.43,NA,NA,NA,5.3,5.02,5.11,5.15,5.23,5.15,5.28,5.6,"5.78","1.35",1.34,1.49,NA,NA,NA,NA,NA,3.72,NA,NA,NA,3.68,3.97,4.16,4.16,4.2,4.15,4.22,4.31,"4.44","5.14",5,4.33,NA,NA,NA,NA,NA,1.54,NA,NA,NA,1.56,1.57,1.56,1.57,1.56,1.56,1.54,1.51,"1.49","7.53",8,6.31,"1"
"2025-06-14_Slovakia U21_Italy U21",NA,NA,NA,NA,NA,1.37,NA,NA,NA,1.39,1.41,1.41,1.41,1.41,1.41,1.41,1.41,"1.42","4.69",4.44,3.77,NA,NA,NA,NA,NA,4.43,NA,NA,NA,4.33,4.62,4.91,4.88,4.96,4.89,4.88,4.88,"4.97","3.99",3.93,3.74,NA,NA,NA,NA,NA,6.94,NA,NA,NA,6.64,6.16,6.18,6.29,6.2,6.31,6.35,6.36,"6.21","1.66",1.71,1.88,"2"
"2025-06-17_Romania U21_Slovakia U21",NA,NA,1.97,NA,NA,NA,1.97,1.92,1.91,1.94,1.93,1.95,1.94,1.95,2,5.5,1.21,"1.21","2.62",NA,2.65,NA,NA,3.1,NA,NA,NA,3.1,3.23,3.34,3.35,3.4,3.35,3.39,3.42,3.58,4.32,6.33,"6.53","3.59",NA,3.41,NA,NA,3.69,NA,NA,NA,3.69,3.96,3.92,3.91,3.95,3.84,3.83,3.79,3.48,1.53,11.44,"11.01","2.45",NA,2.54,NA
"2025-06-17_Spain U21_Italy U21",NA,NA,2.75,NA,NA,NA,2.75,2.7,2.72,2.75,2.74,2.74,2.74,2.73,2.73,1.28,6.73,"6.55","1.78",NA,1.81,NA,NA,3.1,NA,NA,NA,3.1,3.35,3.43,3.44,3.46,3.43,3.46,3.44,3.6,5.84,4.6,"4.6","3.59",NA,3.61,NA,NA,2.4,NA,NA,NA,2.4,2.37,2.38,2.4,2.41,2.4,2.41,2.4,2.36,8.96,1.43,"1.43","4.35",NA,4.33,NA
"2025-06-12_Czech Republic U21_England U21",NA,NA,NA,NA,NA,NA,NA,3.16,NA,NA,NA,3.13,2.99,2.9,2.94,2.97,2.95,"2.94","2.89",2.89,1.33,NA,NA,NA,NA,NA,NA,NA,3.02,NA,NA,NA,3,3.22,3.38,3.38,3.41,3.38,"3.38","3.39",3.43,5.19,NA,NA,NA,NA,NA,NA,NA,2.21,NA,NA,NA,2.23,2.24,2.28,2.31,2.31,2.3,"2.3","2.32",2.32,7.75,"2"
"2025-06-12_Germany U21_Slovenia U21",NA,NA,NA,NA,NA,NA,NA,6.23,NA,NA,NA,6.23,6.24,6.36,6.48,6.59,6.67,"6.65","6.67",6.83,5.53,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,4.2,4.44,4.61,4.61,4.69,4.65,"4.65","4.66",4.71,4.48,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,1.42,1.42,1.42,1.42,1.42,1.41,"1.41","1.41",1.41,1.49,"1"
"2025-06-14_Spain U21_Romania U21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.35",1.34,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.14",5,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.53",8,6.31,"1"
"2025-06-14_Slovakia U21_Italy U21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.69",4.44,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.99",3.93,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.66",1.71,1.88,"2"
