"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result"
"2025-08-09_Guingamp_Le Mans",1.65,1.65,1.65,NA,NA,NA,1.65,1.65,1.64,1.65,1.65,1.65,1.65,1.65,1.65,1.66,1.66,1.64,1.68,1.7,NA,3.64,3.62,3.64,NA,NA,NA,3.62,3.6,3.6,3.6,3.63,3.63,3.63,3.64,3.67,3.67,3.69,3.74,3.64,3.62,NA,4.85,4.85,4.83,NA,NA,NA,4.83,4.84,4.84,4.84,4.87,4.84,4.84,4.88,4.91,4.83,4.82,4.85,4.81,4.71,NA,"X"
"2025-08-09_Dunkerque_Clermont",1.8,1.8,1.84,NA,NA,NA,1.84,1.84,1.84,1.84,1.84,1.94,2.07,2.07,2.08,2.08,2.11,2.1,2.17,2.21,2.11,3.38,3.37,3.38,NA,NA,NA,3.37,3.37,3.37,3.37,3.35,3.31,3.26,3.26,3.29,3.27,3.26,3.3,3.24,3.13,3.18,4.3,4.28,4.02,NA,NA,NA,4.05,4.05,4.05,4.05,4.09,3.73,3.37,3.38,3.37,3.39,3.35,3.34,3.25,3.27,3.48,"X"
"2025-08-09_Laval_St Etienne",2.91,2.9,2.9,NA,NA,NA,2.89,2.89,2.89,2.89,2.91,2.91,2.9,2.91,2.92,2.92,2.93,2.95,2.94,2.93,3.15,3.31,3.31,3.31,NA,NA,NA,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.32,3.32,3.34,3.33,3.34,3.33,3.21,2.28,2.27,2.27,NA,NA,NA,2.27,2.27,2.27,2.27,2.27,2.26,2.26,2.26,2.27,2.26,2.26,2.26,2.27,2.27,2.23,"X"
"2025-08-09_Montpellier_Red Star",1.86,1.85,1.85,NA,NA,NA,1.87,1.86,1.86,1.86,1.87,1.87,1.86,1.87,1.87,1.86,1.89,1.87,1.89,1.86,1.78,3.44,3.42,3.43,NA,NA,NA,3.45,3.44,3.44,3.44,3.44,3.45,3.45,3.45,3.47,3.46,3.46,3.48,3.45,3.46,3.49,3.88,3.9,3.85,NA,NA,NA,3.81,3.82,3.82,3.82,3.83,3.82,3.83,3.84,3.85,3.86,3.79,3.82,3.84,3.98,4.4,"X"
"2025-08-09_Pau FC_Annecy",2.35,2.34,2.34,NA,NA,NA,2.33,2.33,2.34,2.33,2.34,2.34,2.34,2.34,2.33,2.35,2.36,2.34,2.37,2.37,2.34,3.23,3.24,3.22,NA,NA,NA,3.18,3.18,3.18,3.18,3.19,3.19,3.19,3.2,3.22,3.21,3.22,3.22,3.22,3.21,3.2,2.86,2.85,2.86,NA,NA,NA,2.88,2.88,2.88,2.88,2.89,2.88,2.88,2.88,2.91,2.89,2.89,2.9,2.9,2.91,2.99,"1"
"2025-08-09_Rodez_Nancy",1.95,1.95,1.95,NA,NA,NA,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.97,2.01,2.05,2.08,2.17,3.39,3.39,3.38,NA,NA,NA,3.37,3.37,3.37,3.37,3.37,3.36,3.36,3.37,3.36,3.37,3.37,3.34,3.31,3.27,3.28,3.61,3.61,3.6,NA,NA,NA,3.59,3.59,3.59,3.59,3.6,3.61,3.61,3.62,3.67,3.65,3.63,3.54,3.46,3.41,3.28,"X"
"2025-08-09_Troyes_Grenoble",1.73,1.73,1.72,NA,NA,NA,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.73,1.73,1.73,1.74,1.73,1.76,1.78,1.85,3.49,3.48,3.49,NA,NA,NA,3.48,3.48,3.48,3.48,3.49,3.49,3.49,3.49,3.51,3.5,3.49,3.5,3.47,3.44,3.34,4.51,4.5,4.5,NA,NA,NA,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.54,4.51,4.51,4.61,4.49,4.42,4.19,"1"
"2025-08-09_Guingamp_Le Mans",NA,NA,1.65,NA,NA,NA,1.65,1.65,1.64,1.65,1.65,1.65,1.65,1.65,1.65,1.66,1.66,1.64,1.68,1.7,NA,NA,NA,3.64,NA,NA,NA,3.62,3.6,3.6,3.6,3.63,3.63,3.63,3.64,3.67,3.67,3.69,3.74,3.64,3.62,NA,NA,NA,4.83,NA,NA,NA,4.83,4.84,4.84,4.84,4.87,4.84,4.84,4.88,4.91,4.83,4.82,4.85,4.81,4.71,NA,"X"
"2025-08-09_Dunkerque_Clermont",NA,NA,1.84,NA,NA,NA,1.84,1.84,1.84,1.84,1.84,1.94,2.07,2.07,2.08,2.08,2.11,2.1,2.17,2.21,2.11,NA,NA,3.38,NA,NA,NA,3.37,3.37,3.37,3.37,3.35,3.31,3.26,3.26,3.29,3.27,3.26,3.3,3.24,3.13,3.18,NA,NA,4.02,NA,NA,NA,4.05,4.05,4.05,4.05,4.09,3.73,3.37,3.38,3.37,3.39,3.35,3.34,3.25,3.27,3.48,"X"
"2025-08-09_Laval_St Etienne",NA,NA,2.9,NA,NA,NA,2.89,2.89,2.89,2.89,2.91,2.91,2.9,2.91,2.92,2.92,2.93,2.95,2.94,2.93,3.15,NA,NA,3.31,NA,NA,NA,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.32,3.32,3.34,3.33,3.34,3.33,3.21,NA,NA,2.27,NA,NA,NA,2.27,2.27,2.27,2.27,2.27,2.26,2.26,2.26,2.27,2.26,2.26,2.26,2.27,2.27,2.23,"X"
