"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result"
"2025-06-15_Mexico_Dominican Republic",NA,NA,NA,NA,NA,NA,NA,NA,1.17,1.16,1.14,1.13,1.14,1.14,1.13,"1.13","1.14",1.13,1.13,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44,6.86,7.3,7.43,7.41,7.38,7.46,"7.46","7.56",7.9,8.1,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.03,15.54,16.93,17.71,17.84,17.82,18.05,"18.05","17.63",19.04,20.16,17.6,NA,"1"
"2025-06-16_Costa Rica_Suriname",NA,NA,NA,NA,NA,NA,NA,1.7,1.67,1.64,1.54,1.54,1.52,1.52,1.52,"1.52","1.67",1.66,1.68,1.75,NA,NA,NA,NA,NA,NA,NA,NA,3.31,3.38,3.54,3.83,3.79,3.84,3.83,3.84,"3.88","3.53",3.56,3.49,3.41,NA,NA,NA,NA,NA,NA,NA,NA,5.17,5.45,5.42,6.25,6.2,6.35,6.4,6.36,"6.37","5.13",5.22,5.36,5.05,NA,"1"
"2025-06-19_Costa Rica_Dominican Republic",NA,NA,NA,NA,3.24,3.11,3.07,3.04,3.04,3.04,3.05,3.06,3.03,1.28,1.28,"1.28","1.29",NA,1.47,1.49,NA,NA,NA,NA,NA,3.03,3.06,3.05,3.04,3.03,3.03,3.02,3.03,3.04,5.07,5.07,"5.16","5.12",NA,4.17,4.25,NA,NA,NA,NA,NA,2.27,2.33,2.38,2.4,2.39,2.38,2.38,2.38,2.42,11.22,11.47,"11.22","10.15",NA,6.93,6.52,NA,"1"
"2025-06-19_Suriname_Mexico",NA,NA,NA,NA,1.34,1.36,1.34,1.36,1.36,1.36,1.35,1.36,1.36,11.1,11.55,"10.18","11.31",NA,11.18,10.08,NA,NA,NA,NA,NA,4.73,4.69,4.76,4.71,4.7,4.7,4.71,4.72,4.84,5.41,5.42,"5.44","5.43",NA,5.94,5.61,NA,NA,NA,NA,NA,8.33,8.08,8.32,7.87,7.89,7.78,7.9,7.98,7.8,1.25,1.25,"1.28","1.26",NA,1.24,1.28,NA,"2"
"2025-06-23_Dominican Republic_Suriname",1.23,1.23,1.23,1.22,1.22,1.23,1.21,1.21,1.22,2.67,2.41,2.28,2.28,NA,2.22,"3.34","2.64",2.49,2.76,2.79,NA,5.56,5.59,5.74,5.79,5.78,5.81,6.08,6.1,6.07,3.03,3.07,3.11,3.11,NA,3.32,"3.11","3.53",3.61,3.61,3.65,NA,11.76,11.32,11.31,11.38,11.34,11.29,12.2,12.2,11.79,2.72,3.04,3.27,3.26,NA,3.24,"2.25","2.46",2.57,2.34,2.34,NA,NA
"2025-06-23_Mexico_Costa Rica",1.83,1.91,1.89,1.87,1.88,1.88,1.89,1.89,1.92,1.38,1.38,1.4,1.41,NA,1.41,"1.56","1.55",1.56,1.58,1.63,NA,3.38,3.39,3.36,3.36,3.35,3.35,3.37,3.37,3.35,4.73,4.72,4.76,4.69,NA,4.76,"4.03","4.07",4.05,3.94,3.78,NA,4.14,3.9,4.03,4.11,4.06,4.06,4.01,4.02,3.98,7.35,7.36,6.94,6.84,NA,6.93,"5.86","5.53",5.51,5.55,5.48,NA,NA
"2025-06-18_Curacao_El Salvador",NA,NA,NA,NA,NA,7.98,1.09,1.08,1.09,1.09,1.09,1.09,1.09,1.11,1.35,"1.37","1.38",10.56,NA,10.08,NA,NA,NA,NA,NA,NA,4.19,8.68,9.46,9.24,9.11,9.43,9.38,9.48,8.8,4.89,"4.85","4.79",5.51,NA,5.46,NA,NA,NA,NA,NA,NA,1.39,22.17,23.91,22.74,22.2,22.63,22.46,23.22,19.83,7.88,"7.64","7.55",1.26,NA,1.27,NA,"X"
"2025-06-15_Mexico_Dominican Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,1.14,1.13,1.14,1.14,1.13,"1.13","1.14",1.13,1.13,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.86,7.3,7.43,7.41,7.38,7.46,"7.46","7.56",7.9,8.1,7.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.54,16.93,17.71,17.84,17.82,18.05,"18.05","17.63",19.04,20.16,17.6,NA,"1"
"2025-06-16_Costa Rica_Suriname",NA,NA,NA,NA,NA,NA,NA,NA,1.67,1.64,1.54,1.54,1.52,1.52,1.52,"1.52","1.67",1.66,1.68,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,3.54,3.83,3.79,3.84,3.83,3.84,"3.88","3.53",3.56,3.49,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,5.42,6.25,6.2,6.35,6.4,6.36,"6.37","5.13",5.22,5.36,5.05,NA,"1"
"2025-06-19_Costa Rica_Dominican Republic",NA,NA,NA,NA,NA,3.11,3.07,3.04,3.04,3.04,3.05,3.06,3.03,1.28,1.28,"1.28","1.29",NA,1.47,1.49,NA,NA,NA,NA,NA,NA,3.06,3.05,3.04,3.03,3.03,3.02,3.03,3.04,5.07,5.07,"5.16","5.12",NA,4.17,4.25,NA,NA,NA,NA,NA,NA,2.33,2.38,2.4,2.39,2.38,2.38,2.38,2.42,11.22,11.47,"11.22","10.15",NA,6.93,6.52,NA,"1"
