"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0"
"2025-09-17_Velez Sarsfield_Racing Club",2.43,NA,2.58,2.61,NA,NA,NA,NA,2.66,NA,2.61,NA,NA,2.63,NA,NA,2.62,2.63,2.65,2.48,NA,3,NA,3,2.95,NA,NA,NA,NA,2.93,NA,2.93,NA,NA,2.96,NA,NA,2.98,2.95,2.91,2.85,NA,3.09,NA,2.85,2.86,NA,NA,NA,NA,2.85,NA,2.87,NA,NA,2.89,NA,NA,2.85,2.89,2.92,3.27,NA,"2",0.0593503288825053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0964476741355324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0941357448663284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-17_Velez Sarsfield_Racing Club",NA,NA,2.58,2.61,NA,NA,NA,NA,2.66,NA,2.61,NA,NA,2.63,NA,NA,2.62,2.63,2.65,2.48,NA,NA,NA,3,2.95,NA,NA,NA,NA,2.93,NA,2.93,NA,NA,2.96,NA,NA,2.98,2.95,2.91,2.85,NA,NA,NA,2.85,2.86,NA,NA,NA,NA,2.85,NA,2.87,NA,NA,2.89,NA,NA,2.85,2.89,2.92,3.27,NA,"2",NA,NA,0.0713129613852802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0740644210234473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0670980912258601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-18_River Plate_Palmeiras",NA,2.35,2.36,NA,NA,NA,NA,2.36,NA,2.37,NA,NA,2.4,NA,NA,2.45,2.5,2.48,2.54,2.65,NA,NA,3.1,3.06,NA,NA,NA,NA,3.13,NA,2.98,NA,NA,3.05,NA,NA,2.97,2.89,2.93,2.87,2.63,NA,NA,3.09,3.12,NA,NA,NA,NA,3.13,NA,3.19,NA,NA,3.13,NA,NA,3.1,3.12,3.13,3.11,3.3,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-19_LDU Quito_Sao Paulo",1.89,1.8,NA,NA,NA,NA,1.96,NA,1.95,NA,NA,1.95,NA,NA,1.95,1.91,1.9,1.9,1.89,NA,NA,3.25,3.35,NA,NA,NA,NA,3.26,NA,3.16,NA,NA,3.18,NA,NA,3.18,3.2,3.2,3.21,3.24,NA,NA,4.26,4.62,NA,NA,NA,NA,4.08,NA,4.22,NA,NA,4.2,NA,NA,4.18,4.36,4.38,4.39,4.46,NA,NA,"1",0.0371495165525283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105682690961345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13305598860591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-19_Flamengo RJ_Estudiantes L.P.",1.26,1.29,NA,NA,NA,NA,1.34,NA,1.35,NA,NA,1.35,NA,NA,1.35,1.34,1.33,1.32,1.31,NA,NA,4.92,4.61,NA,NA,NA,NA,4.33,NA,4.21,NA,NA,4.28,NA,NA,4.32,4.35,4.4,4.64,4.76,NA,NA,13.24,12.96,NA,NA,NA,NA,11,NA,10.29,NA,NA,10.6,NA,NA,10.61,10.66,11.27,11.28,11.3,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-16_Velez Sarsfield_Racing Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,0.0814710897284335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0974379486963568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0718374232876945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-18_River Plate_Palmeiras",NA,NA,NA,NA,NA,NA,NA,2.36,NA,2.37,NA,NA,2.4,NA,NA,2.45,2.5,2.48,2.54,2.65,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,2.98,NA,NA,3.05,NA,NA,2.97,2.89,2.93,2.87,2.63,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,3.19,NA,NA,3.13,NA,NA,3.1,3.12,3.13,3.11,3.3,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-18_LDU Quito_Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.0323134003805828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0865300288191671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128864504833801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-19_Flamengo RJ_Estudiantes L.P.",NA,NA,NA,NA,NA,NA,1.34,NA,1.35,NA,NA,1.35,NA,NA,1.35,1.34,1.33,1.32,1.31,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,4.21,NA,NA,4.28,NA,NA,4.32,4.35,4.4,4.64,4.76,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,10.29,NA,NA,10.6,NA,NA,10.61,10.66,11.27,11.28,11.3,NA,NA,"1",NA,NA,NA,0.0189249530026853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125529034336836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7243594517811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-18_River Plate_Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0655497840846817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0892622088875459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0803118920210451,NA
