"X.1","X","id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0","home_nleaders_l20","home_nleaders_l19","home_nleaders_l18","home_nleaders_l17","home_nleaders_l16","home_nleaders_l15","home_nleaders_l14","home_nleaders_l13","home_nleaders_l12","home_nleaders_l11","home_nleaders_l10","home_nleaders_l9","home_nleaders_l8","home_nleaders_l7","home_nleaders_l6","home_nleaders_l5","home_nleaders_l4","home_nleaders_l3","home_nleaders_l2","home_nleaders_l1","home_nleaders_l0","draw_nleaders_l20","draw_nleaders_l19","draw_nleaders_l18","draw_nleaders_l17","draw_nleaders_l16","draw_nleaders_l15","draw_nleaders_l14","draw_nleaders_l13","draw_nleaders_l12","draw_nleaders_l11","draw_nleaders_l10","draw_nleaders_l9","draw_nleaders_l8","draw_nleaders_l7","draw_nleaders_l6","draw_nleaders_l5","draw_nleaders_l4","draw_nleaders_l3","draw_nleaders_l2","draw_nleaders_l1","draw_nleaders_l0","away_nleaders_l20","away_nleaders_l19","away_nleaders_l18","away_nleaders_l17","away_nleaders_l16","away_nleaders_l15","away_nleaders_l14","away_nleaders_l13","away_nleaders_l12","away_nleaders_l11","away_nleaders_l10","away_nleaders_l9","away_nleaders_l8","away_nleaders_l7","away_nleaders_l6","away_nleaders_l5","away_nleaders_l4","away_nleaders_l3","away_nleaders_l2","away_nleaders_l1","away_nleaders_l0","home_leader_l20","home_leader_l19","home_leader_l18","home_leader_l17","home_leader_l16","home_leader_l15","home_leader_l14","home_leader_l13","home_leader_l12","home_leader_l11","home_leader_l10","home_leader_l9","home_leader_l8","home_leader_l7","home_leader_l6","home_leader_l5","home_leader_l4","home_leader_l3","home_leader_l2","home_leader_l1","home_leader_l0","draw_leader_l20","draw_leader_l19","draw_leader_l18","draw_leader_l17","draw_leader_l16","draw_leader_l15","draw_leader_l14","draw_leader_l13","draw_leader_l12","draw_leader_l11","draw_leader_l10","draw_leader_l9","draw_leader_l8","draw_leader_l7","draw_leader_l6","draw_leader_l5","draw_leader_l4","draw_leader_l3","draw_leader_l2","draw_leader_l1","draw_leader_l0","away_leader_l20","away_leader_l19","away_leader_l18","away_leader_l17","away_leader_l16","away_leader_l15","away_leader_l14","away_leader_l13","away_leader_l12","away_leader_l11","away_leader_l10","away_leader_l9","away_leader_l8","away_leader_l7","away_leader_l6","away_leader_l5","away_leader_l4","away_leader_l3","away_leader_l2","away_leader_l1","away_leader_l0"
NA,NA,"2026-03-11_Mirassol_Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,NA,2.03,NA,NA,2.05,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,3.7,NA,NA,3.6,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,3.75,NA,NA,3.8,4.1,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0394890442450132,NA,NA,0.0365928604123138,NA,NA,0.0328557588752047,0.0236978332677757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0885854650345339,NA,NA,0.0893031050035768,NA,NA,0.0675942597948913,0.0932925080780449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0801997506230537,NA,NA,0.0921635375138065,NA,NA,0.100671541948501,0.104883911638701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,NA,NA,NA,"1xBet","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,"Betfair",NA,NA,"Betway","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365",NA,NA,"Unibet",NA,NA,"Megapari","Mozzartbet",NA
NA,NA,"2026-03-11_Atletico-MG_Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08,NA,NA,2.04,2,NA,2.08,2.21,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,3.54,3.5,NA,3.52,3.51,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,3.9,3.9,NA,3.8,3.4,3.3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0340858644286184,NA,NA,0.0465590156197902,0.0677249338624015,NA,0.0340702849081937,0.0306542417893926,0.0469109253866827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0783365520342539,NA,NA,0.0699279583202507,0.0447213595499958,NA,0.0817979773032873,0.0741084576284212,0.0660062527100683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119697053494999,NA,NA,0.0923680401367793,0.0683130051063973,NA,0.0876103836462217,0.066159979271028,0.0759113936279639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"1xBet","BetMGM.us",NA,NA,"Duelbits","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair",NA,NA,"1xBet","BetMGM.us",NA,"1xBet","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","bet365.us",NA,"Megapari","bet365","Unibet"
NA,NA,"2026-03-12_Bahia_Vitoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,1.78,1.75,NA,1.78,1.78,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,3.9,3.75,NA,3.8,3.8,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,NA,NA,5.5,5,NA,5.25,5.4,5.4,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016061476099436,NA,NA,0.0448240493741792,0.0287518115371305,NA,0.0313567250645475,0.0351324026261472,0.0250713268211204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126273225729891,NA,NA,0.127179843700479,0.161245154965971,NA,0.109446834699175,0.0907044739100646,0.0792204078244553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26658739763858,NA,NA,0.273462262836031,0.178885438199983,NA,0.20809294509135,0.23170931433416,0.240974213202516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cloudbet","BetMGM.us",NA,"Cloudbet","Duelbits","1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betway",NA,NA,"Betfair","BetMGM.us",NA,"Betfair","Betfair",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365",NA,NA,"Roobet","bet365.us",NA,"Stake.com","Unibet","Unibet",NA
NA,NA,"2026-03-12_Corinthians_Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,NA,NA,1.61,1.58,NA,1.61,1.61,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,NA,NA,4.08,3.9,NA,4.09,4.03,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,6.5,6,NA,6.89,6.89,6.7,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206061977233886,NA,NA,0.0263964807038436,0.0441210456207315,NA,0.0264069347560174,0.0206942979647527,0.0169780437110395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09613452113495,NA,NA,0.097781850680894,0,NA,0.0982194421870203,0.0878454631544817,0.0884307638777366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263934723864706,NA,NA,0.264824196097543,0,NA,0.340161438028429,0.326997403028375,0.317704065154781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,"Cloudbet","BetMGM.us",NA,"Cloudbet","Duelbits","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,"BetInAsia","BetInAsia","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unibet",NA,NA,"Megapari",NA,NA,"Unibet","Betfair Exchange","Betfair Exchange",NA
NA,NA,"2026-03-12_Flamengo RJ_Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,NA,NA,1.56,1.53,NA,1.56,1.53,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4.25,4.2,NA,4.25,4.23,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6.8,6.5,NA,7.08,7.27,6.56,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0264865713435783,NA,NA,0.0283909913017629,0.0338624669312008,NA,0.0292387065511509,0.0220317231599534,0.0251219249085557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119763870242175,NA,NA,0.138883799189896,0.186189867250253,NA,0.133201360712058,0.11047947449963,0.0958702827319869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32769591908447,NA,NA,0.267001721632724,0.225092573548455,NA,0.30434992525931,0.356141580550243,0.312651740937278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,"Cloudbet","BetMGM.us",NA,"Cloudbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia","BetMGM.us",NA,"BetInAsia","BetInAsia","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unibet",NA,NA,"BetInAsia","bet365.us",NA,"Unibet","Betfair Exchange","BetInAsia",NA
NA,NA,"2026-03-12_Remo_Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,3.6,3.4,NA,3.6,3.71,3.66,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,3.7,3.5,NA,3.78,3.7,3.7,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,2.17,2.11,NA,2.12,2.12,2.12,1.95,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0924870053242409,NA,NA,0.140882872880161,0.0516397779494323,NA,0.0796944770822882,0.0894089942565526,0.0690249552295722,0.109382102943966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0800461405402197,NA,NA,0.126024831142581,0.0930949336251264,NA,0.136541379761217,0.104150379679104,0.102483448140942,0.120200890047678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424916281347099,NA,NA,0.027708156479345,0.00516397779494311,NA,0.0466930608922126,0.0379473319220206,0.037615430808654,0.0328150178550217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365",NA,NA,"Megapari","Stake.com",NA,NA,"Betfair Exchange","Betfair Exchange","Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia","BetMGM.us",NA,"BetInAsia","bet365","bet365","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unibet",NA,NA,NA,"Stake.com",NA,"Cloudbet","Duelbits","Duelbits","bwin"
NA,NA,"2026-03-12_Vasco_Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,3.3,3.1,NA,3.3,3.3,3.3,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,3.55,3.5,NA,3.55,3.55,3.55,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06,NA,NA,2.31,2.24,NA,2.32,2.31,2.38,2.48,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148531270988767,NA,NA,0.0986930726071752,0,NA,0.0932024331677403,0.0852931452985563,0.0956465052589689,0.105125775009883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070610524384444,NA,NA,0.0845385958811026,0.0930949336251264,NA,0.0803921838601643,0.0712340207645597,0.0764053517613641,0.0791963603460632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0410777873720654,NA,NA,0.0512386887596321,0.0403319558993446,NA,0.0572733964025521,0.0426130615641849,0.0672639906966903,0.061795874932961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365",NA,NA,"Megapari",NA,NA,"Megapari","Unibet","Unibet","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetMGM.us",NA,"BetInAsia","BetInAsia","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,NA,"Stake.com",NA,NA,"Duelbits","BetInAsia","BetInAsia"
NA,NA,"2026-03-13_Sao Paulo_Chapecoense-SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,1.47,1.46,NA,1.47,1.45,1.42,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,4.65,4.5,NA,4.6,4.6,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,8,7.5,NA,7.85,8,8.79,8.63,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0182630353867713,NA,NA,0.0265184050510511,0.0322490309931942,NA,0.0244948974278318,0.0619574867044344,0.0186615639284055,0.0159064726767399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143619154497099,NA,NA,0.138231922927119,0.186189867250253,NA,0.136899716062761,0.132071409255967,0.122395404001273,0.12948248640536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358801423545757,NA,NA,0.355271363798835,0.337638860322683,NA,0.366618704096706,0.783417827256626,0.469382573174591,0.440370695217506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bwin",NA,NA,"Cloudbet","BetMGM.us",NA,"Cloudbet",NA,NA,"1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bwin",NA,NA,"BetInAsia","BetMGM.us",NA,"Betway",NA,"bwin","bwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365",NA,NA,"bet365","bet365.us",NA,"BetInAsia","Mozzartbet","Betfair Exchange","BetInAsia",NA
NA,NA,"2026-03-13_Gremio_Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,2.07,2.05,NA,2.07,2.1,2.1,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,NA,NA,4.01,3.6,NA,3.92,3.71,3.69,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,3.8,3.7,NA,3.8,3.9,3.71,3.75,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289721351540514,NA,NA,0.047299486036429,0.0709929573971954,NA,0.044558768732627,0.0517012173262474,0.034842047212646,0.0537985660987885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909505360072166,NA,NA,0.182745347598689,0.0930949336251263,NA,0.16550996461572,0.0978774744259372,0.0970550490169498,0.0718309302437504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0911735454208916,NA,NA,0.158562508070216,0.103279555898865,NA,0.148318532546591,0.173501749682409,0.076809390960237,0.127218097943824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"bwin","BetMGM.us",NA,"Cloudbet","Betway","Duelbits","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia","BetMGM.us",NA,"BetInAsia","BetInAsia","BetInAsia","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megapari","bet365.us",NA,"Megapari","bet365","Betfair Exchange","Unibet",NA
NA,NA,"2026-03-14_Vitoria_Atletico-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,2.7,2.65,NA,2.73,2.75,2.75,2.7,2.7,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,NA,NA,3.35,3.35,NA,3.35,3.35,3.35,3.3,3.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,NA,NA,2.6,2.65,NA,2.67,2.67,2.67,2.88,2.9,3.48,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0394701752826372,NA,NA,0.0503566229376457,0.0516397779494323,NA,0.048395804013921,0.0502901633433471,0.0511657212837146,0.0830757925125442,0.0591607978309962,0.0322932987298781,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0890002956825366,NA,NA,0.0600788954975915,0.0447213595499958,NA,0.0640480588788906,0.0650315348819365,0.0611912397005645,0.197986691872788,0.09598941740613,0.0754331407947378,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0417511424363076,NA,NA,0.0364330676865486,0.025819888974716,NA,0.0453363498242262,0.0456116572865236,0.046366853003749,0.0694582208557377,0.0792264185535695,0.103916938747878,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,2,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,NA,NA,NA,"1xBet","Mozzartbet","Megapari","Unibet","Unibet","Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roobet",NA,NA,"N1 Bet","Stake.com",NA,"Roobet",NA,"Roobet",NA,NA,"Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betway",NA,NA,NA,"BetMGM.us",NA,"1xBet","1xBet","1xBet","BetInAsia","BetInAsia","BetInAsia"
