"X.1","X","id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0","home_nleaders_l20","home_nleaders_l19","home_nleaders_l18","home_nleaders_l17","home_nleaders_l16","home_nleaders_l15","home_nleaders_l14","home_nleaders_l13","home_nleaders_l12","home_nleaders_l11","home_nleaders_l10","home_nleaders_l9","home_nleaders_l8","home_nleaders_l7","home_nleaders_l6","home_nleaders_l5","home_nleaders_l4","home_nleaders_l3","home_nleaders_l2","home_nleaders_l1","home_nleaders_l0","draw_nleaders_l20","draw_nleaders_l19","draw_nleaders_l18","draw_nleaders_l17","draw_nleaders_l16","draw_nleaders_l15","draw_nleaders_l14","draw_nleaders_l13","draw_nleaders_l12","draw_nleaders_l11","draw_nleaders_l10","draw_nleaders_l9","draw_nleaders_l8","draw_nleaders_l7","draw_nleaders_l6","draw_nleaders_l5","draw_nleaders_l4","draw_nleaders_l3","draw_nleaders_l2","draw_nleaders_l1","draw_nleaders_l0","away_nleaders_l20","away_nleaders_l19","away_nleaders_l18","away_nleaders_l17","away_nleaders_l16","away_nleaders_l15","away_nleaders_l14","away_nleaders_l13","away_nleaders_l12","away_nleaders_l11","away_nleaders_l10","away_nleaders_l9","away_nleaders_l8","away_nleaders_l7","away_nleaders_l6","away_nleaders_l5","away_nleaders_l4","away_nleaders_l3","away_nleaders_l2","away_nleaders_l1","away_nleaders_l0","home_leader_l20","home_leader_l19","home_leader_l18","home_leader_l17","home_leader_l16","home_leader_l15","home_leader_l14","home_leader_l13","home_leader_l12","home_leader_l11","home_leader_l10","home_leader_l9","home_leader_l8","home_leader_l7","home_leader_l6","home_leader_l5","home_leader_l4","home_leader_l3","home_leader_l2","home_leader_l1","home_leader_l0","draw_leader_l20","draw_leader_l19","draw_leader_l18","draw_leader_l17","draw_leader_l16","draw_leader_l15","draw_leader_l14","draw_leader_l13","draw_leader_l12","draw_leader_l11","draw_leader_l10","draw_leader_l9","draw_leader_l8","draw_leader_l7","draw_leader_l6","draw_leader_l5","draw_leader_l4","draw_leader_l3","draw_leader_l2","draw_leader_l1","draw_leader_l0","away_leader_l20","away_leader_l19","away_leader_l18","away_leader_l17","away_leader_l16","away_leader_l15","away_leader_l14","away_leader_l13","away_leader_l12","away_leader_l11","away_leader_l10","away_leader_l9","away_leader_l8","away_leader_l7","away_leader_l6","away_leader_l5","away_leader_l4","away_leader_l3","away_leader_l2","away_leader_l1","away_leader_l0"
NA,NA,"2026-03-14_HamKam_Viking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,NA,NA,5.2,5.2,5.2,5.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,4.5,4.5,4.5,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,NA,NA,1.65,1.66,1.66,1.66,1.66,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109805022003289,NA,NA,0.201150536816431,0.20013099158577,0.200461143944978,0.198013305518115,0.191794230199889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186205605373543,NA,NA,0.168468212020958,0.161581266696132,0.166136769033695,0.160198183855239,0.151536397797353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0179130991422233,NA,NA,0.0278236202920081,0.0280885299943122,0.0272180080893032,0.0272180080893032,0.0258336927121227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Megapari","Megapari","Megapari","Megapari","Megapari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair",NA,NA,"BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Megapari","Stake.com","Stake.com","Stake.com","Stake.com",NA
NA,NA,"2026-03-14_Molde_Rosenborg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,1.95,1.95,1.99,1.99,2,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,4.05,4.05,4.05,4.05,4.05,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,NA,NA,3.9,3.8,3.8,3.8,3.8,3.91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0405457278138653,NA,NA,0.0349064684329643,0.0307754193599634,0.0351518224831362,0.0372590296990897,0.0417957003818573,0.0312694383988228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0994490316197693,NA,NA,0.134342844989973,0.117177535016929,0.124728582335152,0.118161797289483,0.137733111422688,0.110387484912905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638335748233269,NA,NA,0.151269499696606,0.119969344743401,0.118973626101186,0.13101278325459,0.149485153281834,0.123433678612739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Megapari","Megapari","BetInAsia","BetInAsia",NA,"BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair",NA,NA,"BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Megapari","Stake.com","Stake.com","Stake.com","Stake.com","BetInAsia"
NA,NA,"2026-03-15_Kristiansund_Brann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,5.3,5.3,5.3,5.3,5.3,5.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,4.38,4.38,4.38,4.38,4.38,4.42,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,1.65,1.65,1.65,1.65,1.65,1.62,1.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176348805209735,NA,NA,0.229969897695663,0.229350359279394,0.228596700791816,0.21295823458467,0.23623457329218,0.209167662680232,0.216726578854959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190465017987354,NA,NA,0.171282941806375,0.165973160321451,0.179577236505543,0.175076020354661,0.153151096852171,0.16501274602044,0.115368123507183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032547513873423,NA,NA,0.0236643191323984,0.024997354357366,0.0259030450321093,0.0258718928319842,0.0287592502362856,0.0266726183834391,0.0293239330262559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megapari","Megapari","Megapari","Megapari","Megapari","Mozzartbet","Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"BetInAsia","BetInAsia",NA,NA,NA,NA,NA
NA,NA,"2026-03-15_Aalesund_Lillestrom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,3.5,3.5,3.5,NA,3.45,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4.1,4.1,4.1,NA,4.1,4,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.07,2.07,2.11,NA,2.1,2,2.03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123145585242976,NA,NA,0.138590708979299,0.134921101773235,0.53247898640955,NA,0.134472514451308,0.122337031214384,0.112647605682294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141840337417398,NA,NA,0.136731066752895,0.130843822246623,0.708327197949393,NA,0.167601189524892,0.123159465605588,0.122190348569036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282064601750095,NA,NA,0.0386542862584972,0.0413591829051543,0.246876454671092,NA,0.170377731610007,0.0356570970695677,0.0258750597405598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Megapari","Megapari","Megapari",NA,"Betsson","Mozzartbet","Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair",NA,NA,"BetInAsia","BetInAsia","BetInAsia",NA,"BetInAsia","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,"BetInAsia",NA,"Mozzartbet",NA,"Unibet"
NA,NA,"2026-03-15_KFUM Oslo_Start",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,NA,NA,2,2,2.02,2.02,2,1.93,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,3.8,3.8,3.8,3.8,3.8,3.75,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,3.75,3.75,3.92,3.92,3.92,4.18,4.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027468990781342,NA,NA,0.0432381597843671,0.0412246394704781,0.215408247317687,0.215090247609592,0.0472185346852834,0.0397492138287035,0.0222768194429092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163531110931297,NA,NA,0.12096026047998,0.118500329292066,0.631543394252152,0.625040747334825,0.129055253542904,0.140280897340765,0.0775792390038771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139533855998094,NA,NA,0.121021295011059,0.109814658672052,0.644705849824999,0.646189433768245,0.139011021761309,0.157452940815434,0.164539003822699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"888sport",NA,NA,"Megapari","Megapari","BetInAsia","BetInAsia","BetInAsia","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair",NA,NA,"BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia",NA,"BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"bet365","bet365","BetInAsia","BetInAsia","BetInAsia","BetInAsia","BetInAsia"
NA,NA,"2026-03-15_Valerenga_Sandefjord",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,2.1,2.1,2.07,2.07,2.05,2,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,4.1,4.1,4,4,4.05,4.1,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,3.35,3.35,3.5,3.5,3.52,3.6,3.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206488165853065,NA,NA,0.0379797516903618,0.0390360029179413,0.23054921638659,0.0425648294473542,0.0420762401145194,0.0304255531702266,0.0262308414085065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114412018119208,NA,NA,0.138746032514308,0.130225689319466,0.686037993366436,0.154585294225327,0.162535612442144,0.138404743473166,0.13490605432582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106244586158129,NA,NA,0.107095931115699,0.11231333720572,0.540972913743964,0.120651824458224,0.123577106487293,0.1190918013251,0.115587316810655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Megapari","Megapari","BetInAsia","BetInAsia","Megapari","Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair",NA,NA,"BetInAsia","BetInAsia",NA,"BetInAsia","BetInAsia",NA,"BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Megapari","Megapari","Mozzartbet","Mozzartbet","Unibet","Mozzartbet","Mozzartbet"
NA,NA,"2026-03-14_Sarpsborg 08_Bodo/Glimt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.75,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,5.01,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,1.5,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209368799293608,1.33664347882062,0.23644071249748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210551718453664,1.18906597577125,0.162496963534384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0332548094708296,0.133786947675852,0.0307108758379966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair","BetInAsia","Betsson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia","1xBet","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1xBet",NA,"1xBet",NA,NA,NA
NA,NA,"2026-03-15_Tromso_Fredrikstad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,NA,1.85,1.85,1.85,1.8,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,3.93,3.93,3.93,3.9,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,4.5,4.6,4.6,4.6,5.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0291626737193546,NA,0.0374973117315999,0.037734412914521,0.0379698726617107,0.0272321005724366,0.0263122617018098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102965266735177,NA,0.119189128644758,0.175939545604918,0.158763043873005,0.137279693639352,0.135264973998189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184500990199553,NA,0.173237670044886,0.179928684624776,0.22589256512863,0.209320139104962,0.202543540795562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mozzartbet","Mozzartbet","Megapari","Mozzartbet","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,"BetInAsia","BetInAsia","BetInAsia","bet365","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megapari",NA,NA,"Unibet","Stake.com",NA,"Unibet"
NA,NA,"2026-03-21_Bodo/Glimt_HamKam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0570746558453862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94139495700513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22352018032169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia",NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Viking_Molde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,1.85,1.8,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3.8,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,4.8,4.2,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0422581013113082,0.0424264068711929,0,0.0333904272946699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175690427846202,0.190803690706173,0.0930949336251262,0.148829293924814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307166509189749,0.346465447702383,0.143759057685652,0.233765586018022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair","Betfair","BetMGM.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BetInAsia","Unibet","bet365.us","Unibet",NA,NA
