"X.1","X","id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0","home_nleaders_l20","home_nleaders_l19","home_nleaders_l18","home_nleaders_l17","home_nleaders_l16","home_nleaders_l15","home_nleaders_l14","home_nleaders_l13","home_nleaders_l12","home_nleaders_l11","home_nleaders_l10","home_nleaders_l9","home_nleaders_l8","home_nleaders_l7","home_nleaders_l6","home_nleaders_l5","home_nleaders_l4","home_nleaders_l3","home_nleaders_l2","home_nleaders_l1","home_nleaders_l0","draw_nleaders_l20","draw_nleaders_l19","draw_nleaders_l18","draw_nleaders_l17","draw_nleaders_l16","draw_nleaders_l15","draw_nleaders_l14","draw_nleaders_l13","draw_nleaders_l12","draw_nleaders_l11","draw_nleaders_l10","draw_nleaders_l9","draw_nleaders_l8","draw_nleaders_l7","draw_nleaders_l6","draw_nleaders_l5","draw_nleaders_l4","draw_nleaders_l3","draw_nleaders_l2","draw_nleaders_l1","draw_nleaders_l0","away_nleaders_l20","away_nleaders_l19","away_nleaders_l18","away_nleaders_l17","away_nleaders_l16","away_nleaders_l15","away_nleaders_l14","away_nleaders_l13","away_nleaders_l12","away_nleaders_l11","away_nleaders_l10","away_nleaders_l9","away_nleaders_l8","away_nleaders_l7","away_nleaders_l6","away_nleaders_l5","away_nleaders_l4","away_nleaders_l3","away_nleaders_l2","away_nleaders_l1","away_nleaders_l0","home_leader_l20","home_leader_l19","home_leader_l18","home_leader_l17","home_leader_l16","home_leader_l15","home_leader_l14","home_leader_l13","home_leader_l12","home_leader_l11","home_leader_l10","home_leader_l9","home_leader_l8","home_leader_l7","home_leader_l6","home_leader_l5","home_leader_l4","home_leader_l3","home_leader_l2","home_leader_l1","home_leader_l0","draw_leader_l20","draw_leader_l19","draw_leader_l18","draw_leader_l17","draw_leader_l16","draw_leader_l15","draw_leader_l14","draw_leader_l13","draw_leader_l12","draw_leader_l11","draw_leader_l10","draw_leader_l9","draw_leader_l8","draw_leader_l7","draw_leader_l6","draw_leader_l5","draw_leader_l4","draw_leader_l3","draw_leader_l2","draw_leader_l1","draw_leader_l0","away_leader_l20","away_leader_l19","away_leader_l18","away_leader_l17","away_leader_l16","away_leader_l15","away_leader_l14","away_leader_l13","away_leader_l12","away_leader_l11","away_leader_l10","away_leader_l9","away_leader_l8","away_leader_l7","away_leader_l6","away_leader_l5","away_leader_l4","away_leader_l3","away_leader_l2","away_leader_l1","away_leader_l0"
NA,NA,"2026-03-07_Dundee FC_Motherwell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104355923311323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0793405358875313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0285301288810312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair Exchange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-14_Aberdeen_Falkirk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA,NA,3.09,3.14,3.04,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,NA,NA,3.5,3.5,3.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,NA,2.49,2.44,2.44,2.44,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0656064823498089,NA,NA,0.101331597695991,0.0945448579179755,0.0702760994843208,0.0696316840854178,0.0627744766655599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534352534923291,NA,NA,0.0832280975454436,0.0903045991902994,0.0720956155239539,0.0756096911567915,0.0736788397613007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0915595865801984,NA,NA,0.0486831950054209,0.0376280881240732,0.0403162104543176,0.0382473154987006,0.0409723096582333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betfair Exchange",NA,NA,"Unibet","Betfair Exchange","Betfair Exchange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roobet","Stake.com","Stake.com","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Roobet","Stake.com","Stake.com","Stake.com",NA,NA
NA,NA,"2026-03-14_Celtic_Motherwell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,1.75,NA,1.68,1.7,1.7,1.68,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4,NA,4.14,4.14,4.14,4.17,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,4.8,NA,5.4,5.4,5.4,5.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608362772659451,0.0403319558993445,NA,0.0187677426451043,0.0233741140227647,0.0230665015133091,0.0195829533904378,0.0214476105895272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169817239221588,0.0894427190999917,NA,0.100543975001444,0.111912664361298,0.102402876943713,0.0982449158586005,0.10669791209037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354075519747145,0.297769485788364,NA,0.275571032475103,0.262667633549103,0.259301258880752,0.242969068512781,0.260444065225359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bets.io","BetMGM.us",NA,"Roobet","Betway","Betway","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"BetInAsia",NA,"BetInAsia","BetInAsia","BetInAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Megapari","Mozzartbet","Mozzartbet","Mozzartbet","Mozzartbet",NA
NA,NA,"2026-03-14_Hibernian_Livingston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.46,NA,1.46,1.46,1.46,1.46,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.8,NA,4.9,4.8,4.8,4.8,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.8,NA,7.5,7.25,7.25,7.25,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131405359179345,0.0361478445646026,NA,0.0253601509242741,0.0268328157299974,0.0214179868038562,0.0214179868038562,0.0216171595567407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.978710752389134,0.226803880037357,NA,0.161750671891642,0.304203879002224,0.120185042515466,0.116189500386222,0.120439670730679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70655978969079,0.246306042692149,NA,0.360298945000219,0.569308408063734,0.36131857288425,0.371808535810553,0.312839022451251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betway",NA,"Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Roobet","Stake.com","Stake.com","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","Stake.com",NA,"Megapari","Mozzartbet","Mozzartbet","Mozzartbet","Betfair Exchange",NA
NA,NA,"2026-03-14_Kilmarnock_Hearts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,5.3,5.25,5.25,5.25,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,3.9,3.9,3.9,3.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,NA,NA,1.74,1.75,1.75,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3041024338198,NA,NA,0.266626110998067,0.20616221075371,0.20616221075371,0.20616221075371,0.236229643449853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868797717356699,NA,NA,0.101412484333092,0.0977395307591348,0.0943280328310612,0.0896695874900454,0.0921489477499801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0437817553926651,NA,NA,0.0384457392478043,0.039250922545017,0.0395691077194607,0.0395410174817501,0.0408326044638545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Megapari","Unibet","Unibet","Unibet","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,NA,"Mozzartbet","Mozzartbet","Mozzartbet",NA,NA
NA,NA,"2026-03-15_St. Mirren_Rangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5.5,5.5,5.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,3.91,3.91,3.95,4.05,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,1.73,1.71,1.71,1.71,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231962358902716,NA,NA,0.254641056658555,0.217156954429608,0.208627411490908,0.237991596490296,0.232007115380761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142397767479011,NA,NA,0.0889671372763646,0.0803425207155005,0.0862038926679713,0.107107719105877,0.115052782917854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0460178993308423,NA,NA,0.0300563938167765,0.0266190050259477,0.0288620143617155,0.0403988055771886,0.0308863765108219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Megapari","Betfair","Betfair","Betfair",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"BetInAsia","BetInAsia","Unibet","BetInAsia","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Stake.com","Stake.com","Stake.com","Stake.com",NA,NA,NA
NA,NA,"2026-03-15_Dundee FC_Dundee Utd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,NA,NA,2.2,2.28,2.32,2.32,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA,3.55,3.55,3.55,3.55,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,NA,NA,3.35,3.35,3.35,3.35,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0551210788476907,NA,NA,0.0275622462683077,0.0458937780007272,0.0498625561900302,0.0498625561900302,0.0582514066908403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,NA,NA,0.0626015304357907,0.0981104910251593,0.0837830999852432,0.0837830999852432,0.0691120147892919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0478191035744781,NA,NA,0.0740095896140406,0.102874895901642,0.101148485123509,0.0976698210267324,0.0839191530130294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Roobet","Betsson","Betsson","Betsson","Betfair Exchange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Roobet","Stake.com","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Megapari","Mozzartbet","Mozzartbet","Mozzartbet",NA,NA,NA
NA,NA,"2026-03-21_Falkirk_St. Mirren",NA,NA,NA,NA,NA,1.89,1.89,NA,1.89,1.89,2.04,2.04,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,NA,3.5,3.5,3.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.5,NA,4.5,4.5,4.33,4.33,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0322762798624352,0.0577350269189625,NA,0.0309936454875198,0.0322762798624352,0.0684468211114398,0.0684468211114398,0.0504100830250083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085163062725264,0.0577350269189626,NA,0.0925235432774062,0.085163062725264,0.11115554667022,0.11115554667022,0.087237936222379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149018768638697,0.0981495457622363,NA,0.157441667889662,0.149018768638697,0.23764091107042,0.23764091107042,0.195845744287578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Duelbits","Stake.com","Unibet","Unibet","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Duelbits","Stake.com","Stake.com","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Duelbits","Stake.com","bet365","bet365","bet365",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Hearts_Dundee FC",NA,NA,NA,NA,NA,1.5,NA,NA,1.5,1.5,1.49,1.49,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,4.8,4.8,4.8,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7.2,7.2,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0421926507844646,NA,NA,0.0422115882408869,0.0445243481975602,0.0387382704153301,0.0381945484252892,0.0391076944437521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206615851013686,NA,NA,0.275928185650476,0.27275557628691,0.249186913073417,0.249186913073417,0.249186913073417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596694189718616,NA,NA,0.534066730593914,0.49336253749813,0.611865250661712,0.611865250661712,0.615061503912228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"888sport",NA,NA,"888sport","888sport","Betsson","Betsson","Betsson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Duelbits","Stake.com","Stake.com","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duelbits","Stake.com","Unibet","Unibet","Unibet",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Kilmarnock_Livingston",NA,NA,NA,NA,NA,2.12,2.09,NA,2.1,2.12,2.12,2.12,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,3.55,NA,3.55,3.55,3.6,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,3.55,NA,3.55,3.55,3.8,3.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0415099617330218,0.0519615242270662,NA,0.0356753034006338,0.0415099617330218,0.0683321377226824,0.0726177205187091,0.0683321377226824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112416024824589,0.0866025403784438,NA,0.114481704241597,0.112416024824589,0.128592175937801,0.136626010212795,0.128835914288127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0818736630626522,0.0866025403784438,NA,0.0874729395385519,0.0818736630626522,0.146407971496251,0.152752523165195,0.146407971496251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson","Stake.com",NA,"888sport","Betsson","Betsson","Betsson","Betsson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Duelbits","Stake.com","Unibet","Stake.com","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"Duelbits","Stake.com","Unibet","Stake.com","Unibet",NA,NA,NA,NA,NA,NA,NA,NA
