"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result"
"2025-08-08_Bala_Flint",NA,NA,NA,NA,NA,NA,NA,NA,1.45,1.44,1.44,1.44,1.44,1.44,1.43,1.43,1.44,1.44,1.43,1.55,1.61,NA,NA,NA,NA,NA,NA,NA,NA,4.05,4.08,4.04,4.04,4.04,4.06,3.99,4.02,4.04,4.07,4.18,4.01,4.04,NA,NA,NA,NA,NA,NA,NA,NA,5.98,6.31,6.27,6.27,6.27,6.21,6.16,6.16,6.13,6.32,6.02,5.1,4.61,"X"
"2025-08-08_Haverfordwest_Penybont",NA,NA,NA,NA,NA,NA,NA,NA,2.48,2.52,2.52,2.52,2.52,2.52,2.5,2.5,2.51,2.55,2.48,2.53,2.51,NA,NA,NA,NA,NA,NA,NA,NA,3.36,3.34,3.31,3.31,3.31,3.31,3.28,3.28,3.27,3.28,3.24,3.11,3.1,NA,NA,NA,NA,NA,NA,NA,NA,2.48,2.51,2.51,2.51,2.51,2.51,2.48,2.48,2.51,2.48,2.55,2.68,2.71,"2"
"2025-08-08_Llanelli_Barry",NA,NA,NA,NA,NA,NA,NA,NA,1.98,2.02,2.02,2.02,2.02,2.02,2,2,2.01,2.06,2.09,2.06,2.74,NA,NA,NA,NA,NA,NA,NA,NA,3.67,3.67,3.69,3.69,3.65,3.65,3.62,3.66,3.63,3.62,3.68,3.55,3.53,NA,NA,NA,NA,NA,NA,NA,NA,3.03,3.03,3.01,3.01,3.01,3.01,2.98,2.98,3.01,2.98,2.84,3,2.27,"2"
"2025-08-08_TNS_Briton Ferry",NA,NA,NA,NA,NA,NA,NA,NA,1.18,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.92,10.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-09_Cardiff Metropolitan_Caernarfon",NA,NA,NA,NA,NA,NA,NA,2.27,2.31,2.32,2.32,2.32,2.32,2.32,2.29,2.3,2.33,2.3,2.56,2.58,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.53,3.5,3.5,3.5,3.5,3.5,3.47,3.46,3.44,3.53,3.28,3.29,NA,NA,NA,NA,NA,NA,NA,NA,2.58,2.63,2.61,2.61,2.61,2.61,2.61,2.6,2.62,2.64,2.59,2.49,2.52,NA,"X"
"2025-08-10_Colwyn Bay_Connahs Q.",NA,NA,NA,NA,NA,NA,4.38,4.39,4.36,4.36,4.36,4.35,4.35,4.36,4.38,4.41,4.22,4.29,4.31,4.32,5.21,NA,NA,NA,NA,NA,NA,3.75,3.83,3.8,3.8,3.8,3.8,3.8,3.8,3.76,3.76,3.91,3.88,3.87,3.88,4.1,NA,NA,NA,NA,NA,NA,1.67,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.63,1.63,1.64,1.64,1.64,1.52,"X"
"2025-08-08_Bala_Flint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,1.44,1.44,1.44,1.43,1.43,1.44,1.44,1.43,1.55,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,4.04,4.04,4.06,3.99,4.02,4.04,4.07,4.18,4.01,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,6.27,6.27,6.21,6.16,6.16,6.13,6.32,6.02,5.1,4.61,"X"
"2025-08-08_Haverfordwest_Penybont",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,2.52,2.52,2.52,2.5,2.5,2.51,2.55,2.48,2.53,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31,3.31,3.31,3.31,3.28,3.28,3.27,3.28,3.24,3.11,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51,2.51,2.51,2.51,2.48,2.48,2.51,2.48,2.55,2.68,2.71,"2"
"2025-08-08_Llanelli_Barry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,2.02,2.02,2.02,2,2,2.01,2.06,2.09,2.06,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,3.69,3.65,3.65,3.62,3.66,3.63,3.62,3.68,3.55,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,3.01,3.01,3.01,2.98,2.98,3.01,2.98,2.84,3,2.27,"2"
"2025-08-09_Cardiff Metropolitan_Caernarfon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,2.32,2.32,2.32,2.32,2.29,2.3,2.33,2.3,2.56,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,3.5,3.5,3.47,3.46,3.44,3.53,3.28,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,2.61,2.61,2.61,2.61,2.6,2.62,2.64,2.59,2.49,2.52,NA,"X"
